task_id,puzzle_id,incorrect_distinct_candidates,mean_incorrect_pair_similarity,mean_correct_to_incorrect_similarity
d37a1ef5#0,d37a1ef5,28,0.9716286659240723,0.9764194488525391
d47aa2ff#0,d47aa2ff,10,0.9784445762634277,0.9850000143051147
d492a647#0,d492a647,2,0.886274516582489,0.9431372880935669
d4b1c2b1#0,d4b1c2b1,141,0.5459355711936951,
d56f2372#0,d56f2372,448,0.05439630150794983,
d931c21c#0,d931c21c,488,0.7238011360168457,0.8061111569404602
da2b0fe3#0,da2b0fe3,103,0.8501541614532471,0.8561163544654846
da2b0fe3#1,da2b0fe3,236,0.8213760256767273,0.8090255260467529
da515329#0,da515329,70,0.8748587965965271,
dc2aa30b#0,dc2aa30b,570,0.7628672122955322,
de493100#0,de493100,989,0.08204079419374466,
e0fb7511#0,e0fb7511,7,0.9814032316207886,0.978022038936615
e1baa8a4#0,e1baa8a4,619,0.15010681748390198,
e2092e0c#0,e2092e0c,195,0.8369277715682983,0.8745527267456055
e21a174a#0,e21a174a,264,0.6927815675735474,0.6745516657829285
e21a174a#1,e21a174a,891,0.816065788269043,
e57337a4#0,e57337a4,61,0.632908284664154,0.6520947813987732
e5790162#0,e5790162,165,0.8554255962371826,0.8808081150054932
e5c44e8f#0,e5c44e8f,356,0.8410546183586121,
e619ca6e#0,e619ca6e,67,0.8814681172370911,
e6de6e8f#0,e6de6e8f,77,0.7726113200187683,
e78887d1#0,e78887d1,330,0.7011398673057556,
e7a25a18#0,e7a25a18,170,0.16915661096572876,0.17588236927986145
e7b06bea#0,e7b06bea,73,0.9458631873130798,0.9539996385574341
e872b94a#0,e872b94a,6,0.0,0.0
e88171ec#0,e88171ec,2,0.9931972622871399,0.9965986013412476
ea959feb#0,ea959feb,999,0.9378371238708496,
ea9794b1#0,ea9794b1,1,,0.9599999785423279
ed74f2f2#0,ed74f2f2,17,0.42238563299179077,0.3660130798816681
ed98d772#0,ed98d772,519,0.6537482738494873,
f0afb749#0,f0afb749,53,0.7550798058509827,0.8480084538459778
f3e62deb#0,f3e62deb,66,0.8280559778213501,0.8330303430557251
f3e62deb#1,f3e62deb,90,0.8408015370368958,0.8298889398574829
f45f5ca7#0,f45f5ca7,297,0.897863507270813,0.8798316121101379
f5c89df1#0,f5c89df1,248,0.9485434293746948,
f83cb3f6#0,f83cb3f6,15,0.8512380719184875,0.9222222566604614
f9a67cb5#0,f9a67cb5,339,0.8689413070678711,0.8997331261634827
fafd9572#0,fafd9572,658,0.8508020043373108,
fb791726#0,fb791726,402,0.3367393910884857,0.5225046873092651
fd096ab6#0,fd096ab6,988,0.907223105430603,
fd4b2b02#0,fd4b2b02,253,0.8726263046264648,
fea12743#0,fea12743,725,0.8576523065567017,
ff72ca3e#0,ff72ca3e,553,0.8567237854003906,
