task_id,puzzle_id,pair_index,emitted_candidates,distinct_candidate_grids,orbit_dispersion,majority_vote_mass,top2_vote_mass,top5_vote_mass,mean_candidate_multiplicity,max_candidate_multiplicity,singleton_grid_fraction,invalid_emissions,invalid_emission_fraction,b1_correct,d_count_distinct,d_count_multiset,d_count_non_identical_support,split
506d28a5#0,506d28a5,0,1001,7,0.0028932107804764406,0.994005994005994,0.995004995004995,0.9980019980019978,143.0,995,0.8571428571428571,1,0.000999000999000999,1.0,0.6354889093022426,0.6354889093022426,-0.21182963643408084,dev
50a16a69#0,50a16a69,0,1001,5,0.006336709551388542,0.987012987012987,0.997002997002997,0.9999999999999999,200.2,988,0.6,0,0.0,1.0,0.3354101966249684,0.6708203932499368,0.22360679774997896,test
50aad11f#0,50aad11f,0,1001,964,0.6799910311521702,0.005994005994005994,0.010989010989010988,0.020979020979020976,1.0383817427385893,6,0.9740663900414938,0,0.0,0.0,0.09998752043368035,0.10401973682485464,0.10016015112479788,dev
50f325b5#0,50f325b5,0,1001,274,0.03220374931015779,0.22977022977022976,0.3196803196803197,0.4475524475524476,3.653284671532847,230,0.7481751824817519,0,0.0,0.0,0.33163913450442795,0.326095280016777,0.30908041787015667,dev
516b51b7#0,516b51b7,0,1001,50,0.00559638561187803,0.7962037962037962,0.8471528471528472,0.9200799200799202,20.02,797,0.64,0,0.0,1.0,0.13861682690181523,0.19942851743011578,0.1317023018560377,dev
5207a7b5#0,5207a7b5,0,1001,60,0.012943005567800925,0.6923076923076923,0.7572427572427572,0.8701298701298702,16.683333333333334,693,0.6,0,0.0,1.0,0.5092069456841908,0.5591236411446721,0.5132355314464491,test
5289ad53#0,5289ad53,0,1001,283,0.7616248161479978,0.1848151848151848,0.2837162837162837,0.38761238761238764,3.537102473498233,185,0.6395759717314488,0,0.0,0.0,0.22559773267946628,0.3162626217234513,0.25933405019571965,test
52fd389e#0,52fd389e,0,1001,73,0.017382205735838818,0.4595404595404595,0.6943056943056942,0.895104895104895,13.712328767123287,460,0.6986301369863014,0,0.0,0.0,0.2397318238895703,0.2571171511509626,0.11971280202670967,test
54db823b#0,54db823b,0,576,17,0.044884683406210435,0.8506944444444444,0.9253472222222222,0.9774305555555556,33.88235294117647,490,0.6470588235294118,0,0.0,1.0,-0.30399584776324995,-0.03728250963134198,-0.24663814063810843,dev
55059096#0,55059096,0,576,40,0.01376229663340689,0.59375,0.8194444444444444,0.907986111111111,14.4,342,0.625,0,0.0,1.0,0.5159463124329412,0.45549342091064227,0.38302042130886665,test
