task_id,majority_vote_mass,distinct_candidate_grids
21f83797#0,0.9913194444444444,6
22a4bbc2#0,0.13386613386613386,262
25094a63#0,0.945054945054945,12
2546ccf6#0,0.4275724275724276,197
256b0a75#0,0.8401598401598401,35
2685904e#0,0.23776223776223776,189
2697da3f#0,0.2777777777777778,47
2753e76c#0,0.2017982017982018,162
27a77e38#0,0.03796203796203796,429
27f8ce4f#0,0.6443556443556444,140
281123b4#0,0.994005994005994,4
292dd178#0,0.9820179820179821,11
29700607#0,0.2897102897102897,131
2a5f8217#0,0.15484515484515485,283
2b01abd0#0,0.23276723276723277,472
2c0b0aff#0,0.046875,425
2c737e39#0,0.03496503496503497,697
2f0c5170#0,0.06893106893106893,369
310f3251#0,0.3146853146853147,37
3194b014#0,0.998001998001998,3
319f2597#0,0.997002997002997,4
31adaf00#0,0.2673611111111111,67
31d5ba1a#0,1.0,1
31d5ba1a#1,0.996003996003996,4
32e9702f#0,0.11788211788211789,157
332efdb3#0,0.6666666666666666,4
3391f8c0#0,0.0939060939060939,276
33b52de3#0,0.002997002997002997,999
3490cc26#0,0.3386613386613387,119
34b99a2b#0,0.987012987012987,13
351d6448#0,0.02197802197802198,824
358ba94e#0,0.24175824175824176,39
37d3e8b2#0,0.14685314685314685,419
3979b1a8#0,0.994005994005994,6
3a301edc#0,0.949050949050949,14
3b4c2228#0,0.45754245754245754,36
3b4c2228#1,0.3006993006993007,81
3d31c5b3#0,0.938061938061938,8
3ed85e70#0,0.007992007992007992,946
3ee1011a#0,0.17082917082917082,216
3f23242b#0,0.03596403596403597,708
40f6cd08#0,0.003996003996003996,992
414297c0#0,0.000999000999000999,1001
423a55dc#0,0.27172827172827174,103
42918530#0,0.057942057942057944,297
42a15761#0,0.013888888888888888,72
4364c1c4#0,0.08091908091908091,223
456873bc#0,0.05094905094905095,494
45737921#0,1.0,1
45bbe264#0,1.0,1
477d2879#0,0.11588411588411589,370
47996f11#0,0.000999000999000999,1001
48131b3c#0,0.993006993006993,5
4852f2fa#0,0.234375,112
4852f2fa#1,0.3819444444444444,79
48f8583b#0,0.4045954045954046,201
4aab4007#0,0.001998001998001998,997
4acc7107#0,0.00999000999000999,960
4b6b68e5#0,0.0989010989010989,337
4c177718#0,0.14385614385614387,224
4c177718#1,0.10589410589410589,242
4cd1b7b2#0,0.38161838161838163,49
4e45f183#0,0.7932067932067932,53
4e469f39#0,0.4357638888888889,110
4f537728#0,1.0,1
4ff4c9da#0,0.028971028971028972,645
505fff84#0,0.023976023976023976,578
506d28a5#0,0.994005994005994,7
50a16a69#0,0.987012987012987,5
50aad11f#0,0.005994005994005994,964
50f325b5#0,0.22977022977022976,274
516b51b7#0,0.7962037962037962,50
