statistic,retained_puzzles,coverage,accuracy
random_order_expectation,90,0.75,0.029166666666666667
random_order_expectation,91,0.7583333333333333333333333333,0.029166666666666667
random_order_expectation,92,0.7666666666666666666666666667,0.029166666666666667
random_order_expectation,93,0.775,0.029166666666666667
random_order_expectation,94,0.7833333333333333333333333333,0.029166666666666667
random_order_expectation,95,0.7916666666666666666666666667,0.029166666666666667
random_order_expectation,96,0.8,0.029166666666666667
random_order_expectation,97,0.8083333333333333333333333333,0.029166666666666667
random_order_expectation,98,0.8166666666666666666666666667,0.029166666666666667
random_order_expectation,99,0.825,0.029166666666666667
random_order_expectation,100,0.8333333333333333333333333333,0.029166666666666667
random_order_expectation,101,0.8416666666666666666666666667,0.029166666666666667
random_order_expectation,102,0.85,0.029166666666666667
random_order_expectation,103,0.8583333333333333333333333333,0.029166666666666667
random_order_expectation,104,0.8666666666666666666666666667,0.029166666666666667
random_order_expectation,105,0.875,0.029166666666666667
random_order_expectation,106,0.8833333333333333333333333333,0.029166666666666667
random_order_expectation,107,0.8916666666666666666666666667,0.029166666666666667
random_order_expectation,108,0.9,0.029166666666666667
random_order_expectation,109,0.9083333333333333333333333333,0.029166666666666667
random_order_expectation,110,0.9166666666666666666666666667,0.029166666666666667
random_order_expectation,111,0.925,0.029166666666666667
random_order_expectation,112,0.9333333333333333333333333333,0.029166666666666667
random_order_expectation,113,0.9416666666666666666666666667,0.029166666666666667
random_order_expectation,114,0.95,0.029166666666666667
random_order_expectation,115,0.9583333333333333333333333333,0.029166666666666667
random_order_expectation,116,0.9666666666666666666666666667,0.029166666666666667
random_order_expectation,117,0.975,0.029166666666666667
random_order_expectation,118,0.9833333333333333333333333333,0.029166666666666667
random_order_expectation,119,0.9916666666666666666666666667,0.029166666666666667
random_order_expectation,120,1,0.029166666666666667
